asv_id	System
ASV_817	Lagoon
ASV_926	Lagoon
ASV_927	Lagoon
ASV_8	Stream
ASV_58	Stream
ASV_108	Stream
ASV_179	Stream
ASV_196	Stream
ASV_253	Stream
ASV_307	Stream
ASV_308	Stream
ASV_328	Stream
ASV_356	Stream
ASV_375	Stream
ASV_402	Stream
ASV_428	Stream
ASV_442	Stream
ASV_457	Stream
ASV_458	Stream
ASV_488	Stream
ASV_489	Stream
ASV_490	Stream
ASV_501	Stream
ASV_509	Stream
ASV_512	Stream
ASV_516	Stream
ASV_517	Stream
ASV_547	Stream
ASV_595	Stream
ASV_640	Stream
ASV_642	Stream
ASV_643	Stream
ASV_698	Stream
ASV_700	Stream
ASV_701	Stream
ASV_702	Stream
ASV_703	Stream
ASV_754	Stream
ASV_818	Stream
ASV_819	Stream
ASV_928	Stream
ASV_68	Stream
ASV_76	Stream
ASV_89	Stream
ASV_178	Stream
ASV_184	Stream
ASV_201	Stream
ASV_244	Stream
ASV_245	Stream
ASV_254	Stream
ASV_265	Stream
ASV_281	Stream
ASV_341	Stream
ASV_349	Stream
ASV_374	Stream
ASV_378	Stream
ASV_459	Stream
ASV_544	Stream
ASV_548	Stream
ASV_596	Stream
ASV_597	Stream
ASV_667	Stream
ASV_704	Stream
ASV_755	Stream
ASV_820	Stream
ASV_821	Stream
ASV_822	Stream
ASV_880	Stream
ASV_881	Stream
ASV_929	Stream
ASV_81	Stream
ASV_197	Stream
ASV_207	Stream
ASV_226	Stream
ASV_231	Stream
ASV_232	Stream
ASV_273	Stream
ASV_274	Stream
ASV_342	Stream
ASV_379	Stream
ASV_429	Stream
ASV_460	Stream
ASV_491	Stream
ASV_518	Stream
ASV_519	Stream
ASV_549	Stream
ASV_550	Stream
ASV_638	Stream
ASV_644	Stream
ASV_645	Stream
ASV_705	Stream
ASV_706	Stream
ASV_756	Stream
ASV_757	Stream
ASV_758	Stream
ASV_759	Stream
ASV_760	Stream
ASV_823	Stream
ASV_824	Stream
ASV_882	Stream
ASV_930	Stream
ASV_931	Stream
ASV_77	Stream
ASV_106	Stream
ASV_111	Stream
ASV_176	Stream
ASV_198	Stream
ASV_208	Stream
ASV_373	Stream
ASV_380	Stream
ASV_381	Stream
ASV_403	Stream
ASV_455	Stream
ASV_461	Stream
ASV_520	Stream
ASV_521	Stream
ASV_551	Stream
ASV_646	Stream
ASV_707	Stream
ASV_761	Stream
ASV_762	Stream
ASV_825	Stream
ASV_883	Stream
ASV_884	Stream
ASV_885	Stream
ASV_886	Stream
ASV_932	Stream
ASV_4	Lagoon
ASV_125	Lagoon
ASV_131	Lagoon
ASV_152	Lagoon
ASV_182	Lagoon
ASV_232	Lagoon
ASV_239	Lagoon
ASV_314	Lagoon
ASV_329	Lagoon
ASV_430	Lagoon
ASV_504	Lagoon
ASV_598	Lagoon
ASV_673	Lagoon
ASV_734	Lagoon
ASV_826	Lagoon
ASV_887	Lagoon
