"asv_id","System_derep"
"ASV_927","Lagoon"
"ASV_5","Stream"
"ASV_11","Stream"
"ASV_15","Stream"
"ASV_26","Stream"
"ASV_28","Stream"
"ASV_29","Stream"
"ASV_74","Stream"
"ASV_84","Stream"
"ASV_94","Stream"
"ASV_99","Stream"
"ASV_108","Stream"
"ASV_110","Stream"
"ASV_141","Stream"
"ASV_156","Stream"
"ASV_175","Stream"
"ASV_179","Stream"
"ASV_193","Stream"
"ASV_246","Stream"
"ASV_260","Stream"
"ASV_261","Stream"
"ASV_296","Stream"
"ASV_307","Stream"
"ASV_319","Stream"
"ASV_321","Stream"
"ASV_336","Stream"
"ASV_356","Stream"
"ASV_394","Stream"
"ASV_395","Stream"
"ASV_399","Stream"
"ASV_402","Stream"
"ASV_415","Stream"
"ASV_428","Stream"
"ASV_450","Stream"
"ASV_488","Stream"
"ASV_489","Stream"
"ASV_509","Stream"
"ASV_512","Stream"
"ASV_516","Stream"
"ASV_530","Stream"
"ASV_536","Stream"
"ASV_538","Stream"
"ASV_580","Stream"
"ASV_595","Stream"
"ASV_633","Stream"
"ASV_640","Stream"
"ASV_642","Stream"
"ASV_682","Stream"
"ASV_687","Stream"
"ASV_698","Stream"
"ASV_700","Stream"
"ASV_701","Stream"
"ASV_702","Stream"
"ASV_754","Stream"
"ASV_818","Stream"
"ASV_819","Stream"
"ASV_928","Stream"
"ASV_6","Stream"
"ASV_173","Stream"
"ASV_190","Stream"
"ASV_202","Stream"
"ASV_257","Stream"
"ASV_276","Stream"
"ASV_333","Stream"
"ASV_341","Stream"
"ASV_349","Stream"
"ASV_459","Stream"
"ASV_481","Stream"
"ASV_596","Stream"
"ASV_626","Stream"
"ASV_634","Stream"
"ASV_667","Stream"
"ASV_679","Stream"
"ASV_704","Stream"
"ASV_755","Stream"
"ASV_820","Stream"
"ASV_821","Stream"
"ASV_822","Stream"
"ASV_880","Stream"
"ASV_881","Stream"
"ASV_929","Stream"
"ASV_44","Stream"
"ASV_146","Stream"
"ASV_149","Stream"
"ASV_249","Stream"
"ASV_277","Stream"
"ASV_299","Stream"
"ASV_334","Stream"
"ASV_364","Stream"
"ASV_369","Stream"
"ASV_391","Stream"
"ASV_586","Stream"
"ASV_597","Stream"
"ASV_625","Stream"
"ASV_644","Stream"
"ASV_705","Stream"
"ASV_706","Stream"
"ASV_756","Stream"
"ASV_757","Stream"
"ASV_758","Stream"
"ASV_759","Stream"
"ASV_823","Stream"
"ASV_824","Stream"
"ASV_882","Stream"
"ASV_930","Stream"
"ASV_931","Stream"
"ASV_41","Stream"
"ASV_65","Stream"
"ASV_100","Stream"
"ASV_119","Stream"
"ASV_121","Stream"
"ASV_165","Stream"
"ASV_170","Stream"
"ASV_182","Stream"
"ASV_214","Stream"
"ASV_224","Stream"
"ASV_231","Stream"
"ASV_247","Stream"
"ASV_248","Stream"
"ASV_254","Stream"
"ASV_281","Stream"
"ASV_289","Stream"
"ASV_291","Stream"
"ASV_300","Stream"
"ASV_317","Stream"
"ASV_379","Stream"
"ASV_423","Stream"
"ASV_429","Stream"
"ASV_448","Stream"
"ASV_453","Stream"
"ASV_478","Stream"
"ASV_480","Stream"
"ASV_491","Stream"
"ASV_500","Stream"
"ASV_505","Stream"
"ASV_519","Stream"
"ASV_520","Stream"
"ASV_551","Stream"
"ASV_576","Stream"
"ASV_582","Stream"
"ASV_628","Stream"
"ASV_646","Stream"
"ASV_707","Stream"
"ASV_737","Stream"
"ASV_825","Stream"
"ASV_883","Stream"
"ASV_884","Stream"
"ASV_885","Stream"
"ASV_886","Stream"
"ASV_932","Stream"
"ASV_10","Lagoon"
"ASV_22","Lagoon"
"ASV_25","Lagoon"
"ASV_34","Lagoon"
"ASV_62","Lagoon"
"ASV_66","Lagoon"
"ASV_75","Lagoon"
"ASV_80","Lagoon"
"ASV_85","Lagoon"
"ASV_101","Lagoon"
"ASV_106","Lagoon"
"ASV_133","Lagoon"
"ASV_135","Lagoon"
"ASV_162","Lagoon"
"ASV_185","Lagoon"
"ASV_191","Lagoon"
"ASV_200","Lagoon"
"ASV_252","Lagoon"
"ASV_284","Lagoon"
"ASV_294","Lagoon"
"ASV_329","Lagoon"
"ASV_376","Lagoon"
"ASV_430","Lagoon"
"ASV_485","Lagoon"
"ASV_564","Lagoon"
"ASV_593","Lagoon"
"ASV_598","Lagoon"
"ASV_826","Lagoon"
"ASV_887","Lagoon"
"ASV_933","Lagoon"
"ASV_91","Lagoon"
"ASV_102","Lagoon"
"ASV_131","Lagoon"
"ASV_201","Lagoon"
"ASV_203","Lagoon"
"ASV_204","Lagoon"
"ASV_225","Lagoon"
"ASV_236","Lagoon"
"ASV_351","Lagoon"
"ASV_477","Lagoon"
"ASV_518","Lagoon"
"ASV_534","Lagoon"
"ASV_544","Lagoon"
"ASV_549","Lagoon"
"ASV_578","Lagoon"
"ASV_685","Lagoon"
"ASV_763","Lagoon"
"ASV_764","Lagoon"
"ASV_805","Lagoon"
"ASV_827","Lagoon"
"ASV_888","Lagoon"
"ASV_889","Lagoon"
"ASV_934","Lagoon"
"ASV_935","Lagoon"
"ASV_936","Lagoon"
"ASV_937","Lagoon"
"ASV_938","Lagoon"
"ASV_939","Lagoon"
"ASV_20","Lagoon"
"ASV_46","Lagoon"
"ASV_98","Lagoon"
"ASV_132","Lagoon"
"ASV_143","Lagoon"
"ASV_153","Lagoon"
"ASV_172","Lagoon"
"ASV_195","Lagoon"
"ASV_292","Lagoon"
"ASV_332","Lagoon"
"ASV_346","Lagoon"
"ASV_368","Lagoon"
"ASV_565","Lagoon"
